SNID,oid,sep_arcsec
00088181-62f9-458a-8e23-aa9ed255172d,313871013522702425,0.24903311384602653
0a4047f8-4fa6-4530-b263-b51e8159a9da,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a455be1-5775-4367-b625-a48939289448,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a46eb8a-21ff-4bc3-9784-0932f1dabf20,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a48ac8d-7f5d-42e9-a9d6-17185dabe31a,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a4d2efe-49a3-4edd-ad7b-ebaafc750173,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a4d5c26-5a3e-4636-83c3-b339e1a73025,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a56daf3-d24c-4b04-8994-a6319696efc7,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a5128e8-5020-4318-87f0-758d1358d01e,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a5756d6-d9b8-43cf-b714-29ea71e1dea6,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a57c3e0-6c16-4e9e-a747-008a8cd866e2,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a64328d-db76-459c-9f61-380383d1adf4,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a5e326d-d7d2-43c4-b272-112676bf50d2,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a64a416-8c02-4229-820b-8cf2b05f8d8d,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a6464cd-ecd3-4520-9a9b-38f19395e9dc,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a67da75-3e83-45ac-b65b-26a2f40cda66,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a652dab-23cf-4295-af0c-8389bf0b9cc3,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a701ef6-2e79-4254-83f0-0f8417c705d4,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a70e80b-d80b-4bd3-983a-8d2a1392bf09,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a720c82-ea85-47e9-87fb-b7cbc8e3b0c0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a7721c2-8163-47bd-939d-21a14737027c,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a778372-de88-4501-8e2c-c0c397ad9f21,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0a7beaca-4f64-49b4-aa34-bd3ca5cf4124,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
